Sample in Buffer,Sample in Window,TRIGGER,design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Delay_X_1_muxed[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TData_stage_3[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TData_stage_2[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TData_stage_1[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TData_stage_4[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Prev_Delay_Y_1[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TID_stage_3[1:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TID_stage_3_prev[1:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TID_stage_2[1:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/TID_stage_1[1:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Prev_Delay_X_2[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Prev_Delay_X_1[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Prev_Delay_Y_2[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Delay_Y_2_muxed[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Delay_Y_1_muxed[23:0],design_1_i/audio_pipeline_wrapp_0/U0/audio_pipeline_inst/b_filters_and_effects.i_band_low_1/Delay_X_2_muxed[23:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
59,59,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
60,60,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
61,61,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
62,62,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
63,63,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
64,64,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
65,65,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
66,66,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
67,67,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
68,68,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
69,69,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
70,70,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
71,71,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
72,72,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
73,73,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
74,74,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
75,75,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
76,76,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
77,77,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
78,78,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
79,79,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
80,80,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
81,81,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
82,82,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
83,83,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
84,84,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
85,85,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
86,86,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
87,87,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
88,88,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
89,89,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
90,90,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
91,91,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
92,92,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
93,93,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
94,94,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
95,95,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
96,96,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
97,97,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
98,98,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
99,99,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
100,100,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
101,101,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
102,102,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
103,103,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
104,104,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
105,105,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
106,106,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
107,107,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
108,108,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
109,109,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
110,110,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
111,111,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
112,112,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
113,113,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
114,114,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
115,115,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
116,116,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
117,117,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
118,118,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
119,119,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
120,120,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
121,121,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
122,122,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
123,123,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
124,124,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
125,125,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
126,126,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
127,127,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
128,128,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
129,129,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
130,130,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
131,131,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
132,132,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
133,133,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
134,134,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
135,135,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
136,136,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
137,137,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
138,138,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
139,139,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
140,140,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
141,141,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
142,142,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
143,143,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
144,144,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
145,145,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
146,146,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
147,147,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
148,148,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
149,149,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
150,150,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
151,151,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
152,152,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
153,153,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
154,154,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
155,155,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
156,156,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
157,157,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
158,158,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
159,159,0,21ad04,1cea90,19738f,1e3ffe,000000,000000,0,1,1,0,23c4e7,1b6d84,000000,000000,000000,282185
